time	present_current	goal_current	position_shift
1715776966.164691	6.72	3.0	0.0
1715776966.21278	3.36	3.0	0.0
1715776966.260808	16.8	3.0	0.0
1715776966.308588	6.72	3.0	0.0
1715776966.3566568	13.44	3.0	0.0
1715776966.404664	10.08	3.0	0.0
1715776966.453147	6.72	3.0	0.0
1715776966.500758	6.72	3.0	0.0
1715776966.5487201	13.44	3.0	0.0
1715776966.5967228	6.72	3.0	0.0
1715776966.6446111	0.0	3.0	0.0
1715776966.6927161	6.72	3.0	0.0
1715776966.740631	13.44	3.0	0.0
1715776966.788644	10.08	3.0	0.0
1715776966.8366039	6.72	3.0	0.0879120879120876
1715776966.8847392	10.08	4.0	0.0879120879120876
1715776966.932699	10.08	4.0	0.0879120879120876
1715776966.9806862	10.08	4.0	0.2637362637362628
1715776967.02871	10.08	4.0	0.2637362637362628
1715776967.076556	13.44	4.0	0.3516483516483504
1715776967.124725	13.44	4.0	0.3516483516483504
1715776967.172839	10.08	4.0	0.7032967032967008
1715776967.2206788	6.72	4.0	2.1098901098901024
1715776967.268619	10.08	4.0	4.04395604395603
1715776967.316813	16.8	4.0	6.417582417582395
1715776967.3647301	10.08	4.0	8.967032967032964
1715776967.41262	16.8	4.0	11.340659340659329
1715776967.460639	10.08	4.0	13.802197802197782
1715776967.508608	13.44	4.0	16.0
1715776967.556588	13.44	4.0	18.021978021978015
1715776967.604696	13.44	4.0	19.956043956043942
1715776967.652618	10.08	4.0	21.978021978021957
1715776967.700563	13.44	4.0	23.824175824175796
1715776967.74862	10.08	4.0	25.758241758241752
1715776967.796888	13.44	4.0	27.69230769230768
1715776967.84456	13.44	4.0	29.53846153846152
1715776967.892577	13.44	4.0	31.208791208791183
1715776967.940779	10.08	4.0	32.879120879120876
1715776967.98876	10.08	4.0	34.46153846153845
1715776968.0366578	13.44	4.0	36.04395604395603
1715776968.084564	10.08	4.0	37.53846153846155
1715776968.132684	10.08	4.0	39.03296703296701
1715776968.180824	13.44	4.0	40.527472527472526
1715776968.228723	10.08	4.0	42.1098901098901
1715776968.276556	13.44	4.0	43.60439560439556
1715776968.324527	10.08	5.0	45.09890109890108
1715776968.372639	13.44	5.0	46.681318681318686
1715776968.4206479	16.8	5.0	48.175824175824175
1715776968.468564	16.8	5.0	49.670329670329664
1715776968.516573	16.8	5.0	51.164835164835154
1715776968.5646029	16.8	5.0	52.65934065934064
1715776968.6126761	16.8	5.0	54.15384615384613
1715776968.660628	13.44	5.0	55.560439560439534
1715776968.7085812	13.44	5.0	57.05494505494505
1715776968.756552	13.44	5.0	58.63736263736263
1715776968.804606	16.8	5.0	60.04395604395603
1715776968.852768	16.8	5.0	61.45054945054943
1715776968.9005299	16.8	5.0	62.94505494505492
1715776968.948506	16.8	5.0	64.35164835164832
1715776968.996674	13.44	5.0	65.67032967032964
1715776969.044676	16.8	5.0	67.25274725274721
1715776969.0924768	16.8	5.0	68.65934065934067
1715776969.1405172	16.8	5.0	70.06593406593407
1715776969.188521	13.44	5.0	71.38461538461539
1715776969.2365599	13.44	5.0	72.79120879120879
1715776969.284609	13.44	5.0	74.28571428571428
1715776969.332493	13.44	5.0	75.69230769230768
1715776969.380723	16.8	5.0	77.09890109890108
1715776969.428633	16.8	5.0	78.59340659340657
1715776969.476653	16.8	5.0	80.0
1715776969.5244942	16.8	5.0	81.4065934065934
1715776969.572476	16.8	5.0	82.63736263736263
1715776969.620715	13.44	5.0	84.04395604395603
1715776969.6685781	16.8	5.0	85.36263736263734
1715776969.716487	13.44	5.0	86.76923076923075
1715776969.764438	20.16	6.0	88.26373626373623
1715776969.8125691	20.16	6.0	89.58241758241755
1715776969.860584	16.8	6.0	90.90109890109892
1715776969.908436	20.16	6.0	92.30769230769232
1715776969.956512	16.8	6.0	93.53846153846155
1715776970.004533	16.8	6.0	94.94505494505495
1715776970.052792	20.16	6.0	96.26373626373626
1715776970.100638	16.8	6.0	97.49450549450549
1715776970.148531	16.8	6.0	98.8131868131868
1715776970.1964648	20.16	6.0	100.04395604395603
1715776970.244586	20.16	6.0	101.27472527472526
1715776970.292642	20.16	6.0	102.50549450549451
1715776970.340415	16.8	6.0	103.73626373626374
1715776970.388407	16.8	6.0	104.96703296703296
1715776970.436724	16.8	6.0	106.19780219780219
1715776970.484598	16.8	6.0	107.34065934065933
1715776970.5324008	20.16	6.0	108.57142857142856
1715776970.580419	16.8	6.0	109.7142857142857
1715776970.628492	20.16	6.0	110.85714285714283
1715776970.676759	20.16	6.0	111.73626373626371
1715776970.724632	23.52	6.0	111.91208791208788
1715776970.772444	16.8	6.0	111.91208791208788
1715776970.82038	23.52	6.0	111.91208791208788
1715776970.8684611	20.16	6.0	111.99999999999997
1715776970.916509	23.52	6.0	111.91208791208788
1715776970.9643981	13.44	6.0	111.99999999999997
1715776971.012396	23.52	6.0	111.91208791208788
1715776971.06048	20.16	6.0	111.91208791208788
1715776971.108463	23.52	6.0	111.91208791208788
1715776971.156469	23.52	6.0	111.91208791208788
1715776971.204373	23.52	7.0	111.91208791208788
1715776971.252747	16.8	7.0	111.99999999999997
1715776971.300479	26.88	7.0	111.91208791208788
1715776971.348474	16.8	7.0	111.91208791208788
1715776971.3963609	23.52	7.0	111.91208791208788
1715776971.444586	30.24	7.0	111.91208791208788
1715776971.493016	23.52	7.0	111.99999999999997
1715776971.540396	20.16	7.0	111.91208791208788
1715776971.588354	20.16	7.0	111.91208791208788
1715776971.63636	30.24	7.0	111.91208791208788
1715776971.6845162	23.52	7.0	111.91208791208788
1715776971.7324932	30.24	7.0	111.91208791208788
1715776971.780381	20.16	7.0	111.91208791208788
1715776971.828363	23.52	7.0	111.99999999999997
1715776971.876537	23.52	7.0	111.91208791208788
1715776971.924375	23.52	7.0	111.91208791208788
1715776971.972445	20.16	7.0	111.91208791208788
1715776972.0203469	26.88	7.0	111.99999999999997
1715776972.068338	16.8	7.0	111.91208791208788
1715776972.1164658	26.88	7.0	111.91208791208788
1715776972.164458	20.16	7.0	111.91208791208788
1715776972.21236	16.8	7.0	111.91208791208788
1715776972.26031	20.16	7.0	111.99999999999997
1715776972.3086212	20.16	7.0	111.99999999999997
1715776972.3563452	30.24	7.0	111.91208791208788
1715776972.404338	20.16	7.0	111.91208791208788
1715776972.453059	16.8	7.0	111.99999999999997
1715776972.5002398	16.8	7.0	111.99999999999997
1715776972.548463	20.16	7.0	111.99999999999997
1715776972.596514	26.88	8.0	111.99999999999997
1715776972.6442602	23.52	8.0	111.91208791208788
1715776972.69229	26.88	8.0	111.91208791208788
1715776972.740424	26.88	8.0	111.91208791208788
1715776972.7884328	26.88	8.0	111.91208791208788
1715776972.83635	23.52	8.0	111.99999999999997
1715776972.884326	26.88	8.0	111.99999999999997
1715776972.932587	26.88	8.0	111.91208791208788
1715776972.980431	26.88	8.0	111.91208791208788
1715776973.028434	20.16	8.0	111.91208791208788
1715776973.076303	26.88	8.0	111.99999999999997
1715776973.1242611	23.52	8.0	111.91208791208788
1715776973.17233	26.88	8.0	111.91208791208788
1715776973.220753	26.88	8.0	111.91208791208788
1715776973.26819	26.88	8.0	111.91208791208788
1715776973.3163352	23.52	8.0	111.99999999999997
1715776973.364436	23.52	8.0	111.91208791208788
1715776973.412374	26.88	8.0	111.91208791208788
1715776973.460259	23.52	8.0	111.99999999999997
1715776973.508256	23.52	8.0	111.91208791208788
1715776973.556323	23.52	8.0	111.91208791208788
1715776973.6044211	26.88	8.0	111.91208791208788
1715776973.6523871	26.88	8.0	111.91208791208788
1715776973.700308	26.88	8.0	111.91208791208788
1715776973.748278	23.52	8.0	111.91208791208788
1715776973.7964952	26.88	8.0	111.99999999999997
1715776973.84437	26.88	8.0	111.91208791208788
1715776973.89229	26.88	8.0	111.91208791208788
1715776973.940243	23.52	8.0	111.91208791208788
1715776973.988398	23.52	8.0	111.91208791208788
1715776974.036321	33.6	9.0	111.91208791208788
1715776974.084246	30.24	9.0	111.91208791208788
1715776974.1322181	26.88	9.0	111.99999999999997
1715776974.180338	30.24	9.0	111.91208791208788
1715776974.228537	26.88	9.0	111.91208791208788
1715776974.276437	30.24	9.0	111.99999999999997
1715776974.324194	30.24	9.0	111.91208791208788
1715776974.372204	30.24	9.0	111.91208791208788
1715776974.420486	30.24	9.0	111.99999999999997
1715776974.468373	26.88	9.0	111.91208791208788
1715776974.5162082	26.88	9.0	111.91208791208788
1715776974.564254	30.24	9.0	111.91208791208788
1715776974.612428	26.88	9.0	111.91208791208788
1715776974.6603048	30.24	9.0	111.91208791208788
1715776974.708202	30.24	9.0	111.99999999999997
1715776974.756296	30.24	9.0	111.91208791208788
1715776974.804248	30.24	9.0	111.99999999999997
1715776974.852183	30.24	9.0	111.99999999999997
1715776974.900212	30.24	9.0	111.91208791208788
1715776974.948169	26.88	9.0	111.99999999999997
1715776974.996145	26.88	9.0	111.91208791208788
1715776975.044238	26.88	9.0	111.91208791208788
1715776975.092272	23.52	9.0	111.91208791208788
1715776975.1401331	30.24	9.0	111.99999999999997
1715776975.1881971	30.24	9.0	111.91208791208788
1715776975.236299	26.88	9.0	111.99999999999997
1715776975.2842398	30.24	9.0	111.91208791208788
1715776975.332149	30.24	9.0	111.91208791208788
1715776975.380207	30.24	9.0	111.91208791208788
1715776975.4282172	30.24	9.0	111.91208791208788
1715776975.4763641	30.24	10.0	111.91208791208788
1715776975.524244	33.6	10.0	111.91208791208788
1715776975.572109	30.24	10.0	111.91208791208788
1715776975.6201842	30.24	10.0	111.91208791208788
1715776975.669153	26.88	10.0	111.91208791208788
1715776975.716182	33.6	10.0	111.91208791208788
1715776975.764239	36.96	10.0	111.99999999999997
1715776975.812219	30.24	10.0	111.91208791208788
1715776975.86025	33.6	10.0	111.91208791208788
1715776975.908334	26.88	10.0	111.91208791208788
1715776975.9561112	33.6	10.0	111.99999999999997
1715776976.0042481	36.96	10.0	111.91208791208788
1715776976.05215	30.24	10.0	111.91208791208788
1715776976.1002262	30.24	10.0	111.91208791208788
1715776976.148184	30.24	10.0	111.99999999999997
